Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17
ARI,DET,@BAL,CAR,SEA,@CIN,ATL,@NYG,@NO,SF,@TB,@SF,BYE,LAR,PIT,CLE,@SEA,@LAR
ATL,@MIN,PHI,@IND,TEN,@HOU,@ARI,LAR,SEA,BYE,@NO,@CAR,TB,NO,CAR,@SF,JAX,@TB
BAL,@MIA,ARI,@KC,CLE,@PIT,CIN,@SEA,BYE,NE,@CIN,HOU,@LAR,SF,@BUF,NYJ,@CLE,PIT
BUF,@NYJ,@NYG,CIN,NE,@TEN,BYE,MIA,PHI,WAS,@CLE,@MIA,DEN,@DAL,BAL,@PIT,@NE,NYJ
CAR,LAR,TB,@ARI,@HOU,JAX,@TB,BYE,@SF,TEN,@GB,ATL,@NO,WAS,@ATL,SEA,@IND,NO
CHI,GB,@DEN,@WAS,MIN,@LV,BYE,NO,LAC,@PHI,DET,@LAR,NYG,@DET,DAL,@GB,KC,@MIN
CIN,@SEA,SF,@BUF,@PIT,ARI,@BAL,JAX,@LAR,BYE,BAL,@LV,PIT,NYJ,@CLE,NE,@MIA,CLE
CLE,TEN,@NYJ,LAR,@BAL,@SF,SEA,BYE,@NE,@DEN,BUF,PIT,MIA,@PIT,CIN,@ARI,BAL,@CIN
DAL,NYG,@WAS,MIA,@NO,GB,@NYJ,PHI,BYE,@NYG,MIN,@DET,@NE,BUF,@CHI,LAR,@PHI,WAS
DEN,@LV,CHI,@GB,JAX,@LAC,TEN,KC,@IND,CLE,BYE,@MIN,@BUF,LAC,@HOU,@KC,DET,LV
DET,@ARI,LAC,@PHI,KC,BYE,@GB,MIN,NYG,@LV,@CHI,DAL,@WAS,CHI,@MIN,TB,@DEN,GB
GB,@CHI,MIN,DEN,PHI,@DAL,DET,LV,@KC,@LAC,CAR,BYE,@SF,@NYG,WAS,CHI,@MIN,@DET
HOU,@NO,JAX,@LAC,CAR,ATL,@KC,@IND,LV,@JAX,BYE,@BAL,IND,NE,DEN,@TEN,@TB,TEN
IND,@LAC,@TEN,ATL,LV,@KC,BYE,HOU,DEN,@PIT,MIA,JAX,@HOU,TEN,@TB,@NO,CAR,@JAX
JAX,KC,@HOU,TEN,@DEN,@CAR,NO,@CIN,NYJ,HOU,BYE,@IND,@TEN,TB,LAC,@LV,@ATL,IND
KC,@JAX,@LV,BAL,@DET,IND,HOU,@DEN,GB,MIN,@TEN,@LAC,BYE,LV,@NE,DEN,@CHI,LAC
LAC,IND,@DET,HOU,@MIA,DEN,PIT,@TEN,@CHI,GB,@LV,KC,BYE,@DEN,@JAX,MIN,LV,@KC
LAR,@CAR,NO,@CLE,TB,@SEA,SF,@ATL,CIN,BYE,@PIT,CHI,BAL,@ARI,SEA,@DAL,@SF,ARI
LV,DEN,KC,@MIN,@IND,CHI,BYE,@GB,@HOU,DET,LAC,CIN,@NYJ,@KC,TEN,JAX,@LAC,@DEN
MIA,BAL,NE,@DAL,LAC,BYE,WAS,@BUF,@PIT,NYJ,@IND,BUF,@CLE,PHI,@NYJ,@NYG,CIN,@NE
MIN,ATL,@GB,LV,@CHI,@NYG,PHI,@DET,WAS,@KC,@DAL,DEN,BYE,@SEA,DET,@LAC,GB,CHI
NE,PIT,@MIA,NYJ,@BUF,@WAS,NYG,@NYJ,CLE,@BAL,BYE,@PHI,DAL,@HOU,KC,@CIN,BUF,MIA
NO,HOU,@LAR,@SEA,DAL,TB,@JAX,@CHI,ARI,BYE,ATL,@TB,CAR,@ATL,SF,IND,@TEN,@CAR
NYG,@DAL,BUF,@TB,WAS,MIN,@NE,ARI,@DET,DAL,@NYJ,BYE,@CHI,GB,@PHI,MIA,@WAS,PHI
NYJ,BUF,CLE,@NE,BYE,@PHI,DAL,NE,@JAX,@MIA,NYG,@WAS,LV,@CIN,MIA,@BAL,PIT,@BUF
PHI,WAS,@ATL,DET,@GB,NYJ,@MIN,@DAL,@BUF,CHI,BYE,NE,SEA,@MIA,NYG,@WAS,DAL,@NYG
PIT,@NE,SEA,@SF,CIN,BAL,@LAC,BYE,MIA,IND,LAR,@CLE,@CIN,CLE,@ARI,BUF,@NYJ,@BAL
SEA,CIN,@PIT,NO,@ARI,LAR,@CLE,BAL,@ATL,TB,@SF,BYE,@PHI,MIN,@LAR,@CAR,ARI,SF
SF,@TB,@CIN,PIT,BYE,CLE,@LAR,@WAS,CAR,@ARI,SEA,ARI,GB,@BAL,@NO,ATL,LAR,@SEA
TB,SF,@CAR,NYG,@LAR,@NO,CAR,BYE,@TEN,@SEA,ARI,NO,@ATL,@JAX,IND,@DET,HOU,ATL
TEN,@CLE,IND,@JAX,@ATL,BUF,@DEN,LAC,TB,@CAR,KC,BYE,JAX,@IND,@LV,HOU,NO,@HOU
WAS,@PHI,DAL,CHI,@NYG,NE,@MIA,SF,@MIN,@BUF,BYE,NYJ,DET,@CAR,@GB,PHI,NYG,@DAL
